Date,US_CPI,Global_Energy_Index
2026-01-01,326.588,153.6561816639817
2026-01-02,326.588,153.6561816639817
2026-01-03,326.588,153.6561816639817
2026-01-04,326.588,153.6561816639817
2026-01-05,326.588,153.6561816639817
2026-01-06,326.588,153.6561816639817
2026-01-07,326.588,153.6561816639817
2026-01-08,326.588,153.6561816639817
2026-01-09,326.588,153.6561816639817
2026-01-10,326.588,153.6561816639817
2026-01-11,326.588,153.6561816639817
2026-01-12,326.588,153.6561816639817
2026-01-13,326.588,153.6561816639817
2026-01-14,326.588,153.6561816639817
2026-01-15,326.588,153.6561816639817
2026-01-16,326.588,153.6561816639817
2026-01-17,326.588,153.6561816639817
2026-01-18,326.588,153.6561816639817
2026-01-19,326.588,153.6561816639817
2026-01-20,326.588,153.6561816639817
2026-01-21,326.588,153.6561816639817
2026-01-22,326.588,153.6561816639817
2026-01-23,326.588,153.6561816639817
2026-01-24,326.588,153.6561816639817
2026-01-25,326.588,153.6561816639817
2026-01-26,326.588,153.6561816639817
2026-01-27,326.588,153.6561816639817
2026-01-28,326.588,153.6561816639817
2026-01-29,326.588,153.6561816639817
2026-01-30,326.588,153.6561816639817
2026-01-31,326.588,153.6561816639817
2026-02-01,327.46,159.2083540785469
2026-02-02,327.46,159.2083540785469
2026-02-03,327.46,159.2083540785469
2026-02-04,327.46,159.2083540785469
2026-02-05,327.46,159.2083540785469
2026-02-06,327.46,159.2083540785469
2026-02-07,327.46,159.2083540785469
2026-02-08,327.46,159.2083540785469
2026-02-09,327.46,159.2083540785469
2026-02-10,327.46,159.2083540785469
2026-02-11,327.46,159.2083540785469
2026-02-12,327.46,159.2083540785469
2026-02-13,327.46,159.2083540785469
2026-02-14,327.46,159.2083540785469
2026-02-15,327.46,159.2083540785469
2026-02-16,327.46,159.2083540785469
2026-02-17,327.46,159.2083540785469
2026-02-18,327.46,159.2083540785469
2026-02-19,327.46,159.2083540785469
2026-02-20,327.46,159.2083540785469
2026-02-21,327.46,159.2083540785469
2026-02-22,327.46,159.2083540785469
2026-02-23,327.46,159.2083540785469
2026-02-24,327.46,159.2083540785469
2026-02-25,327.46,159.2083540785469
2026-02-26,327.46,159.2083540785469
2026-02-27,327.46,159.2083540785469
2026-02-28,327.46,159.2083540785469
2026-03-01,330.293,242.277532944728
2026-03-02,330.293,242.277532944728
2026-03-03,330.293,242.277532944728
2026-03-04,330.293,242.277532944728
2026-03-05,330.293,242.277532944728
2026-03-06,330.293,242.277532944728
2026-03-07,330.293,242.277532944728
2026-03-08,330.293,242.277532944728
2026-03-09,330.293,242.277532944728
2026-03-10,330.293,242.277532944728
2026-03-11,330.293,242.277532944728
2026-03-12,330.293,242.277532944728
2026-03-13,330.293,242.277532944728
2026-03-14,330.293,242.277532944728
2026-03-15,330.293,242.277532944728
2026-03-16,330.293,242.277532944728
2026-03-17,330.293,242.277532944728
2026-03-18,330.293,242.277532944728
2026-03-19,330.293,242.277532944728
2026-03-20,330.293,242.277532944728
2026-03-21,330.293,242.277532944728
2026-03-22,330.293,242.277532944728
2026-03-23,330.293,242.277532944728
2026-03-24,330.293,242.277532944728
2026-03-25,330.293,242.277532944728
2026-03-26,330.293,242.277532944728
2026-03-27,330.293,242.277532944728
2026-03-28,330.293,242.277532944728
2026-03-29,330.293,242.277532944728
2026-03-30,330.293,242.277532944728
2026-03-31,330.293,242.277532944728
2026-04-01,330.293,242.277532944728
2026-04-02,330.293,242.277532944728
2026-04-03,330.293,242.277532944728
2026-04-04,330.293,242.277532944728
2026-04-05,330.293,242.277532944728
2026-04-06,330.293,242.277532944728
2026-04-07,330.293,242.277532944728
2026-04-08,330.293,242.277532944728
2026-04-09,330.293,242.277532944728
2026-04-10,330.293,242.277532944728
